id,query,retrieved_chunks,retrieved_count,top_score,avg_score,retrieval_time,generation_time,timestamp,execution_metadata,verification_score,verification_status,grounding_score,adaptive_retrieval_used,retrieval_attempts,evidence_expansion_factor,verification_improvement,planner_latency,research_latency,aggregation_latency,sub_question_count,evidence_count,research_depth,faithfulness_score,answer_relevancy_score
bc7a094e-2626-47cf-b4c7-b0da800d7209,Compare multi-threading and multi-processing overheads. (test 10),"[{""chunk_text"": ""Vector text regarding Compare multi-threading and multi-processing overheads. (test 10)"", ""document_id"": ""doc1"", ""filename"": ""spec.pdf"", ""page_number"": 1, ""similarity_score"": 0.82}]",1,0.82,0.82,0.0,0.0,2026-06-14 08:23:37.630851,"{""selected_route"": ""deep_research"", ""route_confidence"": 1.0, ""retrieval_used"": true, ""planner_time_ms"": 0, ""retriever_time_ms"": 0, ""aggregation_time_ms"": 0, ""generator_time_ms"": 0, ""verifier_time_ms"": 1, ""grounding_score"": 0.0, ""verification_score"": 0.6239, ""verification_status"": ""PARTIALLY_SUPPORTED"", ""verification_attempts"": 0, ""retrieval_mode"": ""hybrid"", ""graph_queries"": 0, ""graph_hits"": 0, ""hybrid_queries"": 0, ""entity_count"": 0, ""relationship_count"": 0, ""evidence_count"": 1, ""sub_question_count"": 0, ""research_depth"": ""shallow"", ""adaptive_retrieval_reason"": ""Low Grounding Score"", ""verification_score_before_adaptation"": 0.6239, ""verification_score_after_adaptation"": 0.0, ""verification_improvement"": 0.0, ""grounding_score_before_adaptation"": 0.0, ""grounding_score_after_adaptation"": 0.0, ""grounding_score_improvement"": 0.0, ""hybrid_verification_score"": 0.6239, ""hybrid_grounding_score"": 0.0, ""faithfulness"": 0.8003, ""answer_relevancy"": 0.0}",0.6239,PARTIALLY_SUPPORTED,0.0,0,1,1.0,0.0,0.05,0.0,0.0,1,1,shallow,0.8003,0.0
4ac7b5f8-5483-406d-973d-3c95cde5e133,Summarize TCP timeout and retransmission timer calculation. (test 10),"[{""chunk_text"": ""Vector text regarding Summarize TCP timeout and retransmission timer calculation. (test 10)"", ""document_id"": ""doc1"", ""filename"": ""spec.pdf"", ""page_number"": 1, ""similarity_score"": 0.82}]",1,0.82,0.82,0.0,0.001,2026-06-14 08:23:37.569318,"{""selected_route"": ""deep_research"", ""route_confidence"": 1.0, ""retrieval_used"": true, ""planner_time_ms"": 0, ""retriever_time_ms"": 0, ""aggregation_time_ms"": 0, ""generator_time_ms"": 1, ""verifier_time_ms"": 0, ""grounding_score"": 0.0, ""verification_score"": 0.5916, ""verification_status"": ""PARTIALLY_SUPPORTED"", ""verification_attempts"": 0, ""retrieval_mode"": ""hybrid"", ""graph_queries"": 0, ""graph_hits"": 0, ""hybrid_queries"": 0, ""entity_count"": 0, ""relationship_count"": 0, ""evidence_count"": 1, ""sub_question_count"": 0, ""research_depth"": ""shallow"", ""adaptive_retrieval_reason"": ""Low Verification Score"", ""verification_score_before_adaptation"": 0.5916, ""verification_score_after_adaptation"": 0.0, ""verification_improvement"": 0.0, ""grounding_score_before_adaptation"": 0.0, ""grounding_score_after_adaptation"": 0.0, ""grounding_score_improvement"": 0.0, ""hybrid_verification_score"": 0.5916, ""hybrid_grounding_score"": 0.0, ""faithfulness"": 0.7061, ""answer_relevancy"": 0.0}",0.5916,PARTIALLY_SUPPORTED,0.0,0,1,1.0,0.0,0.05,0.0,0.0,1,1,shallow,0.7061,0.0
d99723c6-b4b9-40ba-9f2e-a6b4813a07b2,What is the connection between sliding window and flow control? (test 10),"[{""chunk_text"": ""Vector text regarding What is the connection between sliding window and flow control? (test 10)"", ""document_id"": ""doc1"", ""filename"": ""spec.pdf"", ""page_number"": 1, ""similarity_score"": 0.82}]",1,0.82,0.82,0.0,0.002,2026-06-14 08:23:37.440915,"{""selected_route"": ""deep_research"", ""route_confidence"": 1.0, ""retrieval_used"": true, ""planner_time_ms"": 0, ""retriever_time_ms"": 0, ""aggregation_time_ms"": 0, ""generator_time_ms"": 2, ""verifier_time_ms"": 0, ""grounding_score"": 0.0, ""verification_score"": 0.5839, ""verification_status"": ""PARTIALLY_SUPPORTED"", ""verification_attempts"": 0, ""retrieval_mode"": ""hybrid"", ""graph_queries"": 0, ""graph_hits"": 0, ""hybrid_queries"": 0, ""entity_count"": 0, ""relationship_count"": 0, ""evidence_count"": 1, ""sub_question_count"": 0, ""research_depth"": ""shallow"", ""adaptive_retrieval_reason"": ""Low Verification Score"", ""verification_score_before_adaptation"": 0.5839, ""verification_score_after_adaptation"": 0.0, ""verification_improvement"": 0.0, ""grounding_score_before_adaptation"": 0.0, ""grounding_score_after_adaptation"": 0.0, ""grounding_score_improvement"": 0.0, ""hybrid_verification_score"": 0.5839, ""hybrid_grounding_score"": 0.0, ""faithfulness"": 0.8034, ""answer_relevancy"": 0.0}",0.5839,PARTIALLY_SUPPORTED,0.0,0,1,1.0,0.0,0.05,0.0,0.0,1,1,shallow,0.8034,0.0
3afaa9c8-d7bc-4594-9153-cd58f1909819,Detail how the routing graph represents node connections. (test 10),"[{""chunk_text"": ""Vector text regarding Detail how the routing graph represents node connections. (test 10)"", ""document_id"": ""doc1"", ""filename"": ""spec.pdf"", ""page_number"": 1, ""similarity_score"": 0.82}]",1,0.82,0.82,0.0,0.001,2026-06-14 08:23:37.308414,"{""selected_route"": ""deep_research"", ""route_confidence"": 1.0, ""retrieval_used"": true, ""planner_time_ms"": 0, ""retriever_time_ms"": 0, ""aggregation_time_ms"": 0, ""generator_time_ms"": 1, ""verifier_time_ms"": 0, ""grounding_score"": 0.0, ""verification_score"": 0.57, ""verification_status"": ""PARTIALLY_SUPPORTED"", ""verification_attempts"": 0, ""retrieval_mode"": ""hybrid"", ""graph_queries"": 0, ""graph_hits"": 0, ""hybrid_queries"": 0, ""entity_count"": 0, ""relationship_count"": 0, ""evidence_count"": 1, ""sub_question_count"": 0, ""research_depth"": ""shallow"", ""adaptive_retrieval_reason"": ""Low Verification Score"", ""verification_score_before_adaptation"": 0.57, ""verification_score_after_adaptation"": 0.0, ""verification_improvement"": 0.0, ""grounding_score_before_adaptation"": 0.0, ""grounding_score_after_adaptation"": 0.0, ""grounding_score_improvement"": 0.0, ""hybrid_verification_score"": 0.57, ""hybrid_grounding_score"": 0.0, ""faithfulness"": 0.8108, ""answer_relevancy"": 0.0}",0.57,PARTIALLY_SUPPORTED,0.0,0,1,1.0,0.0,0.05,0.0,0.0,1,1,shallow,0.8108,0.0
d90b2965-bc04-47cb-988f-366dc79aebc7,Explain the parallel execution speedup and Amdahl's Law. (test 10),"[{""chunk_text"": ""Vector text regarding Explain the parallel execution speedup and Amdahl's Law. (test 10)"", ""document_id"": ""doc1"", ""filename"": ""spec.pdf"", ""page_number"": 1, ""similarity_score"": 0.82}]",1,0.82,0.82,0.0,0.002,2026-06-14 08:23:37.242366,"{""selected_route"": ""deep_research"", ""route_confidence"": 1.0, ""retrieval_used"": true, ""planner_time_ms"": 0, ""retriever_time_ms"": 0, ""aggregation_time_ms"": 0, ""generator_time_ms"": 2, ""verifier_time_ms"": 0, ""grounding_score"": 0.0, ""verification_score"": 0.5824, ""verification_status"": ""PARTIALLY_SUPPORTED"", ""verification_attempts"": 0, ""retrieval_mode"": ""hybrid"", ""graph_queries"": 0, ""graph_hits"": 0, ""hybrid_queries"": 0, ""entity_count"": 0, ""relationship_count"": 0, ""evidence_count"": 1, ""sub_question_count"": 0, ""research_depth"": ""shallow"", ""adaptive_retrieval_reason"": ""Low Verification Score"", ""verification_score_before_adaptation"": 0.5824, ""verification_score_after_adaptation"": 0.0, ""verification_improvement"": 0.0, ""grounding_score_before_adaptation"": 0.0, ""grounding_score_after_adaptation"": 0.0, ""grounding_score_improvement"": 0.0, ""hybrid_verification_score"": 0.5824, ""hybrid_grounding_score"": 0.0, ""faithfulness"": 0.7334, ""answer_relevancy"": 0.0}",0.5824,PARTIALLY_SUPPORTED,0.0,0,1,1.0,0.0,0.05,0.0,0.0,1,1,shallow,0.7334,0.0
0e5adb10-d255-487e-9463-5aebc83a477a,What does the document say about thread safety and memory model? (test 10),"[{""chunk_text"": ""Vector text regarding What does the document say about thread safety and memory model? (test 10)"", ""document_id"": ""doc1"", ""filename"": ""spec.pdf"", ""page_number"": 1, ""similarity_score"": 0.82}]",1,0.82,0.82,0.0,0.001,2026-06-14 08:23:37.186194,"{""selected_route"": ""deep_research"", ""route_confidence"": 1.0, ""retrieval_used"": true, ""planner_time_ms"": 0, ""retriever_time_ms"": 0, ""aggregation_time_ms"": 0, ""generator_time_ms"": 1, ""verifier_time_ms"": 0, ""grounding_score"": 0.0, ""verification_score"": 0.5657, ""verification_status"": ""PARTIALLY_SUPPORTED"", ""verification_attempts"": 0, ""retrieval_mode"": ""hybrid"", ""graph_queries"": 0, ""graph_hits"": 0, ""hybrid_queries"": 0, ""entity_count"": 0, ""relationship_count"": 0, ""evidence_count"": 1, ""sub_question_count"": 0, ""research_depth"": ""shallow"", ""adaptive_retrieval_reason"": ""Low Verification Score"", ""verification_score_before_adaptation"": 0.5657, ""verification_score_after_adaptation"": 0.0, ""verification_improvement"": 0.0, ""grounding_score_before_adaptation"": 0.0, ""grounding_score_after_adaptation"": 0.0, ""grounding_score_improvement"": 0.0, ""hybrid_verification_score"": 0.5657, ""hybrid_grounding_score"": 0.0, ""faithfulness"": 0.7538, ""answer_relevancy"": 0.0}",0.5657,PARTIALLY_SUPPORTED,0.0,0,1,1.0,0.0,0.05,0.0,0.0,1,1,shallow,0.7538,0.0
771deed3-df84-489c-a213-6208c5fc3b4f,Summarize AIMD algorithm features in transport layer protocols. (test 10),"[{""chunk_text"": ""Vector text regarding Summarize AIMD algorithm features in transport layer protocols. (test 10)"", ""document_id"": ""doc1"", ""filename"": ""spec.pdf"", ""page_number"": 1, ""similarity_score"": 0.82}]",1,0.82,0.82,0.0,0.0,2026-06-14 08:23:37.121009,"{""selected_route"": ""deep_research"", ""route_confidence"": 1.0, ""retrieval_used"": true, ""planner_time_ms"": 0, ""retriever_time_ms"": 0, ""aggregation_time_ms"": 0, ""generator_time_ms"": 0, ""verifier_time_ms"": 2, ""grounding_score"": 0.0, ""verification_score"": 0.614, ""verification_status"": ""PARTIALLY_SUPPORTED"", ""verification_attempts"": 0, ""retrieval_mode"": ""hybrid"", ""graph_queries"": 0, ""graph_hits"": 0, ""hybrid_queries"": 0, ""entity_count"": 0, ""relationship_count"": 0, ""evidence_count"": 1, ""sub_question_count"": 0, ""research_depth"": ""shallow"", ""adaptive_retrieval_reason"": ""Low Grounding Score"", ""verification_score_before_adaptation"": 0.614, ""verification_score_after_adaptation"": 0.0, ""verification_improvement"": 0.0, ""grounding_score_before_adaptation"": 0.0, ""grounding_score_after_adaptation"": 0.0, ""grounding_score_improvement"": 0.0, ""hybrid_verification_score"": 0.614, ""hybrid_grounding_score"": 0.0, ""faithfulness"": 0.7298, ""answer_relevancy"": 0.0}",0.614,PARTIALLY_SUPPORTED,0.0,0,1,1.0,0.0,0.05,0.0009999275207519531,0.0,1,1,shallow,0.7298,0.0
cbf90bfd-cfce-4475-a07a-aab3eb8ae049,Explain the relationship between Congestion Window and Slow Start Threshold. (test 10),"[{""chunk_text"": ""Vector text regarding Explain the relationship between Congestion Window and Slow Start Threshold. (test 10)"", ""document_id"": ""doc1"", ""filename"": ""spec.pdf"", ""page_number"": 1, ""similarity_score"": 0.82}]",1,0.82,0.82,0.0,0.001,2026-06-14 08:23:37.063568,"{""selected_route"": ""deep_research"", ""route_confidence"": 1.0, ""retrieval_used"": true, ""planner_time_ms"": 0, ""retriever_time_ms"": 0, ""aggregation_time_ms"": 0, ""generator_time_ms"": 1, ""verifier_time_ms"": 0, ""grounding_score"": 0.0, ""verification_score"": 0.581, ""verification_status"": ""PARTIALLY_SUPPORTED"", ""verification_attempts"": 0, ""retrieval_mode"": ""hybrid"", ""graph_queries"": 0, ""graph_hits"": 0, ""hybrid_queries"": 0, ""entity_count"": 0, ""relationship_count"": 0, ""evidence_count"": 1, ""sub_question_count"": 0, ""research_depth"": ""shallow"", ""adaptive_retrieval_reason"": ""Low Verification Score"", ""verification_score_before_adaptation"": 0.581, ""verification_score_after_adaptation"": 0.0, ""verification_improvement"": 0.0, ""grounding_score_before_adaptation"": 0.0, ""grounding_score_after_adaptation"": 0.0, ""grounding_score_improvement"": 0.0, ""hybrid_verification_score"": 0.581, ""hybrid_grounding_score"": 0.0, ""faithfulness"": 0.7407, ""answer_relevancy"": 0.0}",0.581,PARTIALLY_SUPPORTED,0.0,0,1,1.0,0.0,0.05,0.0,0.0,1,1,shallow,0.7407,0.0
75d28c68-8da6-44bc-a802-90933b0445d7,Compare transmission control protocol and user datagram protocol. (test 10),"[{""chunk_text"": ""Vector text regarding Compare transmission control protocol and user datagram protocol. (test 10)"", ""document_id"": ""doc1"", ""filename"": ""spec.pdf"", ""page_number"": 1, ""similarity_score"": 0.82}]",1,0.82,0.82,0.0,0.001,2026-06-14 08:23:36.995905,"{""selected_route"": ""deep_research"", ""route_confidence"": 1.0, ""retrieval_used"": true, ""planner_time_ms"": 0, ""retriever_time_ms"": 0, ""aggregation_time_ms"": 0, ""generator_time_ms"": 1, ""verifier_time_ms"": 0, ""grounding_score"": 0.0, ""verification_score"": 0.6229, ""verification_status"": ""PARTIALLY_SUPPORTED"", ""verification_attempts"": 0, ""retrieval_mode"": ""hybrid"", ""graph_queries"": 0, ""graph_hits"": 0, ""hybrid_queries"": 0, ""entity_count"": 0, ""relationship_count"": 0, ""evidence_count"": 1, ""sub_question_count"": 0, ""research_depth"": ""shallow"", ""adaptive_retrieval_reason"": ""Low Grounding Score"", ""verification_score_before_adaptation"": 0.6229, ""verification_score_after_adaptation"": 0.0, ""verification_improvement"": 0.0, ""grounding_score_before_adaptation"": 0.0, ""grounding_score_after_adaptation"": 0.0, ""grounding_score_improvement"": 0.0, ""hybrid_verification_score"": 0.6229, ""hybrid_grounding_score"": 0.0, ""faithfulness"": 0.7118, ""answer_relevancy"": 0.0}",0.6229,PARTIALLY_SUPPORTED,0.0,0,1,1.0,0.0,0.05,0.0,0.0,1,1,shallow,0.7118,0.0
8709e46a-615f-4247-adbb-10a030d991ca,What are the parameters of OpenMP thread configuration? (test 10),"[{""chunk_text"": ""Vector text regarding What are the parameters of OpenMP thread configuration? (test 10)"", ""document_id"": ""doc1"", ""filename"": ""spec.pdf"", ""page_number"": 1, ""similarity_score"": 0.82}]",1,0.82,0.82,0.001,0.0,2026-06-14 08:23:36.939539,"{""selected_route"": ""deep_research"", ""route_confidence"": 1.0, ""retrieval_used"": true, ""planner_time_ms"": 0, ""retriever_time_ms"": 1, ""aggregation_time_ms"": 0, ""generator_time_ms"": 0, ""verifier_time_ms"": 1, ""grounding_score"": 0.0, ""verification_score"": 0.6045, ""verification_status"": ""PARTIALLY_SUPPORTED"", ""verification_attempts"": 0, ""retrieval_mode"": ""hybrid"", ""graph_queries"": 0, ""graph_hits"": 0, ""hybrid_queries"": 0, ""entity_count"": 0, ""relationship_count"": 0, ""evidence_count"": 1, ""sub_question_count"": 0, ""research_depth"": ""shallow"", ""adaptive_retrieval_reason"": ""Low Grounding Score"", ""verification_score_before_adaptation"": 0.6045, ""verification_score_after_adaptation"": 0.0, ""verification_improvement"": 0.0, ""grounding_score_before_adaptation"": 0.0, ""grounding_score_after_adaptation"": 0.0, ""grounding_score_improvement"": 0.0, ""hybrid_verification_score"": 0.6045, ""hybrid_grounding_score"": 0.0, ""faithfulness"": 0.7808, ""answer_relevancy"": 0.0}",0.6045,PARTIALLY_SUPPORTED,0.0,0,1,1.0,0.0,0.05,0.0010008811950683594,0.0,1,1,shallow,0.7808,0.0
